言語	学習項目	内容	所感	参考(スクショ/コード)
PHP	オブジェクト指向 — クラス	ビジネスロジックをコントローラに書かず責務ごとにクラスへ切り出した。漸進的過負荷の計算、DBアクセス、認可、バリデーション。特に計算ロジックはEloquentに依存させず、値を引数で受け取る純粋なクラスとして書いた。	最初はコントローラに全部書けば動くと思っていたが、テストを書こうとした時点で無理だと分かった。DBに依存していると計算ロジック1つ検証するのにユーザーとワークアウトとセットを毎回作る必要がある。値を引数で受け取る形にしたら同じロジックのテストが25件書けた。責務を分ける意味が理屈ではなく手を動かして腑に落ちた。	app/app/Services/ProgressionService.php
PHP	オブジェクト指向 — 継承	フレームワークの基底クラス継承に加え、自分でも基底クラスを設計した。通知処理では基底クラスに「非対応なら何もしない」「例外を投げない」という共通の振る舞いを実装し、サブクラスは差分だけを書く構造にした。	継承をコードを使い回す仕組みだと思っていたが、実際に設計してみると共通の振る舞いを1箇所に集める仕組みだと分かった。基底クラスに例外処理を書いておけば、サブクラスは「この環境で使えるか」と「実際に何をするか」だけ書けばいい。サブクラスを追加するたびに同じ処理を書き写す必要がなくなった。	app/resources/js/Utils/notifiers/
PHP	オブジェクト指向 — ポリモーフィズム	トレーニングの重量の上げ方(漸進法)を差し替え可能にした。インターフェースを定義し3方式を実装。呼び出し側はFactoryからインターフェースを受け取るだけで、どの実装が返るかを知らない。分岐はFactoryの1箇所だけに閉じている。	一番理解が浅かった概念。書籍では「同じメソッド名で違う動きをする」と説明されるが、それだけでは何が嬉しいのか分からなかった。実装して、価値は呼び出し側が実装を知らなくて済むことだと分かった。分岐を呼び出し側に書いていたら方式を追加するたび全部直すことになる。Factoryに閉じたので新しい方式を足しても既存クラスは1行も変えなくていい。開放閉鎖の原則を実感できた。	app/app/Services/Progression/ | https://github.com/reoreoreo0615-dotcom/myapp/blob/main/.claude/docs/screenshots/sp-record.png(画面に戦略名が表示される)
PHP	セッション管理	Laravelの認証がセッションをどう扱っているかを調査。保存先、有効期限、CookieのHttpOnly/SameSite属性を実際のレスポンスヘッダで確認。ログイン時にセッションIDが再発行されるかを、DBのテーブルをログイン前後で直接比較して検証した。	「ログインすればセッションができる」程度の理解だった。調べて驚いたのはログイン時に古いセッションIDを破棄して新しく発行していること。セッション固定攻撃への対策で、フレームワークが黙ってやってくれていた。知らないうちに守られていたことを自分で説明できるようになったのが一番の収穫。	.claude/docs/security.md §3
PHP	セキュリティ — CSRF	トークンがどこで生成されフロントに渡るか、どのミドルウェアが検証しているかを追った。実際にトークン無しのPOSTを投げて419が返ることを確認。さらにLaravel 13では従来方式に加えSec-Fetch-Siteヘッダを見る新しい判定が入っていることをフレームワークのソースから発見し、動作を確かめた。	「CSRFトークンを付ければ安全」で止まっていた。実際に自分で419を出してみると何が検証されて弾かれたのかが具体的に見える。新しい判定方式は書籍にも載っておらず、フレームワークのソースを直接読まないと分からなかった。公式ドキュメントの外側を見にいく必要がある場面があると実感した。	.claude/docs/security.md §1
PHP	セキュリティ — XSS	エスケープされる書き方とされない書き方の違いを整理。自分のコードに危険な使い方が無いかgrepし、いずれも0件を確認。さらに種目名にスクリプトタグを実際に登録し、生のHTMLでエスケープされていることを確かめた。	エスケープはフレームワークが自動でやると聞いていたが、自動でやらない書き方が用意されていることが盲点だった。便利だからと使った瞬間に穴が開く。自分のコードをgrepして0件だと確認できたのは、知識ではなく事実として安心できた。	.claude/docs/security.md §2
PHP	セキュリティ — SQLインジェクション	ORMがプリペアドステートメントでどう防いでいるかを確認。危険なメソッドをgrepし0件を確認。パフォーマンスのため生SQLで書いた集計処理は全行を読み、ユーザー入力がすべてバインディング経由であることを確認した。攻撃文字列を送って弾かれることも検証した。	パフォーマンスのために生SQLを書いた箇所があり、そこが安全かどうかを自分で判断する必要があった。「ORMを使っていれば安全」ではなく、どこで文字列連結しているかを自分で確認しないといけないと分かった。	.claude/docs/security.md §4
JavaScript	オブジェクト指向 — クラス・継承・ポリモーフィズム	タイマーの通知手段(音・バイブレーション・画面表示)をclassとextendsで階層化した。束ねるクラスが個々の型を知らず共通メソッドだけを呼ぶ構造にし、テストでは継承していないオブジェクトを渡しても動くことを検証した。	JavaScriptのクラスはPHPと書き方が似ているが、継承していないオブジェクトでも同じように扱える点が違った。PHPなら型宣言で弾かれるところがJSでは通る。柔軟だが逆にインターフェースを実装し忘れても実行時まで分からない怖さもある。テストで担保するしかないと理解した。	app/resources/js/Utils/notifiers/ | https://github.com/reoreoreo0615-dotcom/myapp/blob/main/.claude/docs/screenshots/sp-record.png(通知手段の対応状況を表示)
JavaScript	非同期処理とタイマー	セット間の休憩を計るタイマーを実装。経過時間をカウント加算ではなく開始時刻との差分で毎回計算する方式にした。ブラウザに保存して画面を離れても正しく復元されるようにした。	最初はカウント加算で作ろうとしたが、ブラウザがバックグラウンドタブのタイマーを間引くと知って設計を変えた。ジムで別アプリを開いて戻ると時間が狂うという実際に起きる問題。テストでは時計を20分先に飛ばして検証し、さらにわざとカウント加算方式に書き換えてテストが落ちることを確認した。テストが本当に機能するかは壊してみないと分からないと学んだ。	app/resources/js/Components/IntervalTimer.js
JavaScript	テスト(Vitest)	Vitestを導入しコンポーネントのロジックに70件のテストを書いた。フェイクタイマーで長押しの連続処理を検証したり、ブラウザ保存が使えない環境をモックして壊れないことを確認した。	それまでテストはPHP側だけで、フロントは手で触って確認していた。手で触って気づけるのは見て分かるバグだけだと分かった。タイマーの計算やデータ復元は正常に見えても内部で壊れている可能性がある。テストを書いて初めてそこに手を入れる自信が持てるようになった。	app/resources/js/**/*.test.js
設計	データベース設計	6テーブルを設計。外部キーの削除ルールを用途ごとに使い分け、インデックスを実際のクエリに合わせて張った。	外部キーの削除ルールで実際にデータ漏洩バグを作ってしまったのが一番の学び。ユーザーの独自データにSET NULLを設定していたため、ユーザーを削除するとそのデータが全員に見える共有データに昇格する状態になっていた。設計時は参照が壊れないようにとしか考えていなかったが、NULLが業務上どういう意味を持つかまで考える必要があった。	GitHub Issue #13
